id,tweets,likes,retweets,Tweet_Score,time,followers,friends,User_Score,location,key_word,inclakeontario
1.46322E+18,Our dredging activities were completed in the Wire Mill Delta area of Spirit Lake. We've moved to the North Dredge Area. Check out more photos of our work at: https://t.co/2sVjF2xFWI https://t.co/beXU5SP7ls,5,1,7,11/23/2021 19:01,11071,288,11647,U.S. EPA Region 5,lake cleanup,0
1.46314E+18,"Cost of damage from B.C. flooding could be 'catastrophic,' expert says https://t.co/9RLtLfFkUM
Flood Damage Cleanup Chicago, Evanston, Skokie, Wilmette, Glenview, Northbrook, Lake Forest
https://t.co/2WlvdwWqe7
#flooddamagecleanupchicago #Evanston #Skokie #Wilmette #Glenview https://t.co/tEMRQLGYlr",1,0,1,11/23/2021 13:46,1557,2581,6719,"Chicago, IL",lake cleanup,0
1.46311E+18,🍁 We are excited to recognize our Lake Shore servant leaders and philanthropists who participated in the district's 3rd annual Seasonal Cleanup. @myLSPS be-leafs in helping their community: https://t.co/MQjIcO5Fyp. #myLSPS https://t.co/onpbRKEnCX,2,0,2,11/23/2021 11:50,1222,182,1586,"St Clair Shores, MI",lake cleanup,0
"1,465,722,528,370,980,000","Since 2014, we have picked up over 3 million pieces of litter from the shores of Lake Ontario &amp; beyond. Until #LakeOntario is plastic-free, you can rest assured that we’ll be at the lakeshore every year cleaning up litter &amp; advocating for the lake we love so much. #GivingTuesday",2,0,2,11/30/2021 16:40,1379,1444,4267,Canada,cleaningshoreline,1
"1,466,504,108,920,080,000","RT @ChamberVictoria: In a recent interview in @Douglasmagazine, Mark Collins, CEO of @BCFerries, discusses the electrification of BC Ferrie…",0,1,2,12/2/2021 20:26,776,587,1950,,A Greener Future,0
"1,466,499,346,430,570,000","On this #NationalPollutionControlDay, let’s create awareness about perils of unhealthy environments and pledge to do our bit to build a pollution free future for our planet and people. 

A greener future is everyone’s responsibility.

#nationalpollutioncontrolday2021 https://t.co/xKwTUKjRoG",0,0,0,12/2/2021 20:07,4382,3,4388,"Kolkata, India",A Greener Future,0
"1,466,497,999,064,860,000","RT @scientix_eu: To ensure a future where our children can thrive, #NBSeducation is essential. Environmentally literate citizens can greatl…",0,9,18,12/2/2021 20:02,427,1943,4313,,A Greener Future,0
"1,466,496,146,734,510,000","Digitalization and rapid adoption due to the pandemic have increased demand for data centers. As a result, IT teams are building next generation data centers – driving more profitability and a greener future. Learn more: https://t.co/KxA5uSLoZz #datacenters #sustainability https://t.co/Lw4xxfS2jx",0,0,0,12/2/2021 19:55,42,73,188,"Orange, CA",A Greener Future,0
"1,466,493,615,807,630,000","RT @bjd_odisha: On this #NationalPollutionControlDay, let’s create awareness about perils of unhealthy environments and pledge to do our bi…",0,109,218,12/2/2021 19:44,73,169,411,,A Greener Future,0
"1,466,469,173,312,290,000","RT @Transport_EU: #EUYearofRail &amp; green #mobility are the topics of the year at the #RegioStars Awards!

Read all about the 5⃣ finalists &amp;…",0,9,18,12/2/2021 18:07,762,4559,9880,,A Greener Future,0
"1,466,469,034,954,780,000","FortWhyte Alive is taking steps toward a greener future with the deep energy retrofitted Richardson Interpretive Centre! Since completion, the renovation received 3 Green Globes + energy usage is down by 36% compared to the average from 2016-2020. Congratulations to all involved! https://t.co/eIaHcbQqxc",0,0,0,12/2/2021 18:07,998,435,1868,Canada,A Greener Future,0
"1,466,466,643,912,110,000","RT @Transport_EU: #EUYearofRail &amp; green #mobility are the topics of the year at the #RegioStars Awards!

Read all about the 5⃣ finalists &amp;…",0,9,18,12/2/2021 17:57,3091,1001,5093,,A Greener Future,0
"1,466,463,757,949,830,000","@vivekanandahr and team are changing not just the EV ecosystem, but the whole automobile industry with #BounceInfinity. Pre-book your scooters now! 💚💚 For a greener future! https://t.co/3BPhDXK5wi",1,0,1,12/2/2021 17:46,655,3184,7023,Bengaluru,A Greener Future,0
"1,466,459,733,204,760,000","RT @joinmissionzero: Excited for the future collaborations toward a greener future. This photo was taken sharing ideas with David Clark, Er…",0,1,2,12/2/2021 17:30,193,583,1359,"Boulder, CO",A Greener Future,0
"1,466,459,061,336,120,000",Are you wanting to launch yourself into a career within the digital industry and contribute to a greener future?♻️ @CadentGasLtd is looking for a Junior Content Apprentice to join their team in Manchester and their starting salary is £18327 💪 Apply Now 👉 https://t.co/nbXJ1Di3bl https://t.co/sKPUFzRSIe,1,0,1,12/2/2021 17:27,8198,4844,17886,"Manchester, UK",A Greener Future,0
